MSU	Symbol	Keyword
LOC_Os01g16414	OsARP6	ATPase; cell cycle; cell division; chloroplast; dwarf; internode elongation; leaf; plant development; reproductive; seed; spikelet; vegetative
LOC_Os01g16430	OcXII	ABA; development; growth; plant development; seed; seedling; stress; stress response
LOC_Os01g16714	OsYUC9	grain; iaa; starch
LOC_Os01g16810	CSA	anther; anther development; cell wall; cell wall synthesis; development; fertility; floral; heterosis; pollen; reproductive; seed; seed development; starch; stem; sterile; sterility; sugar; tapetal; transcription factor; transcription regulator; transporter
LOC_Os01g17170	OsCRD1|PNZIP|YGL8|YL-1	Chl biosynthesis; flower; flowering time; map-based cloning
LOC_Os01g17260	OsHBP1b|OsTGA5	Kinase; blast; drought; drought tolerance; grain; grain yield; kinase; resistance; salicylic acid; salinity; salinity stress; seedlings; stress; stress tolerance; tolerance; yield
LOC_Os01g17330	Os-eIF6;2	nitrate
LOC_Os01g18050	OsTUB1	salt; salt stress; stress
LOC_Os01g18170	OsGER4	 ja ; JA; auxin; auxin transport; crown; crown root; crown root development; development; ja; jasmonic; jasmonic acid; lateral root; root; root development; stress; stress response; vascular bundle
LOC_Os01g18240	MYB61|OsMYB61	biomass; biomass production; cellulose; domestication; grain; grain yield; map-based cloning; nitrogen; transcription factor; yield
LOC_Os01g18320	OsPPO1	herbicide resistance; resistance
LOC_Os01g18360	OsIAA4	auxin; defense; dwarf; iaa; tiller; tiller angle
LOC_Os01g18840	OsIF|OsIFL	abiotic stress; biotic stress; chloroplast; photosynthesis; salinity; salinity stress; stress; stress tolerance; temperature; tolerance
LOC_Os01g18870	TIP2|bHLH142	PCD; Ubiquitin; anther; anther development; cell death; development; male sterility; pollen; pollen development; seed; sterility; tapetal; tapetal programmed cell death; tapetum; transcription factor
LOC_Os01g19170	OsPG1|PSL1	architecture; bacterial blight; blight; cell wall; development; drought; drought tolerance; leaf; leaf rolling; pathogen; plant development; resistance; tolerance
LOC_Os01g19694	OSH6	growth; leaf; panicle; sheath
LOC_Os01g20030	OsDOG1L-3	ABA; abscisic acid; dormancy; seed; seed dormancy
LOC_Os01g20100	WP3	leaf; mitochondria
